"date","tmean_celsius"
2023-09-04,31.356088445216
2023-09-05,31.2087525921103
2023-09-06,30.5371620460792
2023-09-07,31.0087735399787
2023-09-08,29.4712440773292
2023-09-09,26.9798225308642
2023-09-10,26.2641306936005
2023-09-11,27.9302130051601
2023-09-12,29.7184530375916
2023-09-13,30.9417328257619
2023-09-14,31.1528617199556
2023-09-15,29.1443179283613
2023-09-16,28.542354178723
2023-09-17,27.8020938072675
2023-09-18,28.9668657467689
2023-09-19,30.2140223373601
2023-09-20,30.6837338294512
2023-09-21,30.801207290461
2023-09-22,29.9244530948591
2023-09-23,28.3468924816743
2023-09-24,28.2931547941985
2023-09-25,29.2644810806086
2023-09-26,29.4854238251109
2023-09-27,28.6223569516782
2023-09-28,27.800830153477
2023-09-29,28.2503883644386
2023-09-30,28.7242607964409
2023-10-01,28.0543652946566
2023-10-02,26.7420062029803
2023-10-03,26.6179175859616
2023-10-04,26.7548959237558
2023-10-05,26.8819368338879
2023-10-06,27.7251782075858
2023-10-07,28.7579273365162
2023-10-08,29.5059881516444
2023-10-09,29.6238628622926
2023-10-10,28.2376282491801
2023-10-11,26.682142394266
2023-10-12,26.3896943268952
2023-10-13,27.1630297248746
2023-10-14,27.7731695481288
2023-10-15,26.9829794047791
2023-10-16,23.9611996497637
2023-10-17,22.4325082284433
2023-10-18,23.3492555217978
2023-10-19,22.8890127676504
2023-10-20,23.2442761833285
2023-10-21,23.6304565429687
2023-10-22,23.4693768536603
2023-10-23,23.7318875536506
2023-10-24,23.5905809944058
2023-10-25,23.5833249692563
2023-10-26,23.1154844684365
2023-10-27,23.1956500018084
2023-10-28,23.5513350121769
2023-10-29,23.9106813783999
2023-10-30,24.3618773660542
2023-10-31,24.305655698423
2023-11-01,23.9762169355227
2023-11-02,23.3630087770061
2023-11-03,22.9847430193865
2023-11-04,22.873735517337
2023-11-05,22.4210042317708
2023-11-06,22.1973785777151
2023-11-07,22.6482611008632
2023-11-08,22.4305818534192
2023-11-09,22.9050473060137
